question,contexts,answer,ground_truth
Phở bò tái gầu chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái gầu | Nhãn hệ thống: ['Dish']\n - Năng lượng: 581.5 kcal | Carbohydrate (Carb): 77.9 g\n - Chất đạm (Protein): 28.1 g | Natri: None mg | Kali: 228.8 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở bò tái gầu chứa 77.9 g carbohydrate.,77.9 g carbohydrate
Phở bò tái lăn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái lăn | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 71.7 g\n - Chất đạm (Protein): 45.6 g | Natri: 1440.0 mg | Kali: 766.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở bò tái lăn chứa 71.7 g carbohydrate.,71.7 g carbohydrate
Phở gà 24h chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở gà 24h | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 42.6 g\n - Chất đạm (Protein): 19.0 g | Natri: 1664.0 mg | Kali: 240.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở gà 24h chứa 42.6 g carbohydrate.,42.6 g carbohydrate
Phở gà bình dân chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở gà bình dân | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 49.0 g\n - Chất đạm (Protein): 15.2 g | Natri: 1627.0 mg | Kali: 119.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở gà bình dân chứa 49 g carbohydrate.,49.0 g carbohydrate
Phở vịt quay chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở vịt quay | Nhãn hệ thống: ['Dish']\n - Năng lượng: 592.0 kcal | Carbohydrate (Carb): 90.4 g\n - Chất đạm (Protein): 22.0 g | Natri: 396.8 mg | Kali: 168.1 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở vịt quay chứa 90.4 g carbohydrate.,90.4 g carbohydrate
Phồng tôm chiên chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tôm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): None g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Tôm chứa Carbohydrate: Chưa cập nhật.,42.4 g carbohydrate
Sò huyết nướng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sò | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 78.0 kcal | Carbohydrate (Carb): 4.9 g\n - Chất đạm (Protein): 9.5 g | Natri: 380.0 mg | Kali: 223.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sò chứa 4.9 g carbohydrate.,26.4 g carbohydrate
Su hào xào chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Su hào | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 37.0 kcal | Carbohydrate (Carb): 6.2 g\n - Chất đạm (Protein): 2.8 g | Natri: 53.0 mg | Kali: 321.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Su hào chứa 6.2 g carbohydrate.,6.1 g carbohydrate
Sữa bò tươi thanh trùng có đường Mộc Châu chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bò tươi | Nhãn hệ thống: ['Dish']\n - Năng lượng: 74.0 kcal | Carbohydrate (Carb): 4.8 g\n - Chất đạm (Protein): 3.9 g | Natri: 380.0 mg | Kali: 143.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa bò tươi chứa 4.8 g carbohydrate.,20.9 g carbohydrate
Sữa bò tươi thanh trùng không đường TH True Milk chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bò tươi | Nhãn hệ thống: ['Dish']\n - Năng lượng: 74.0 kcal | Carbohydrate (Carb): 4.8 g\n - Chất đạm (Protein): 3.9 g | Natri: 380.0 mg | Kali: 143.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa bò tươi chứa 4.8 g carbohydrate.,10.1 g carbohydrate
Sữa bột tách béo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bột tách béo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 357.0 kcal | Carbohydrate (Carb): 52.0 g\n - Chất đạm (Protein): 35.0 g | Natri: 535.0 mg | Kali: 1764.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa bột tách béo chứa 52 g carbohydrate.,18.0 g carbohydrate
Sữa bột toàn phần chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bột toàn phần | Nhãn hệ thống: ['Dish']\n - Năng lượng: 494.0 kcal | Carbohydrate (Carb): 38.0 g\n - Chất đạm (Protein): 27.0 g | Natri: 371.0 mg | Kali: 1330.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa bột toàn phần chứa 38 g carbohydrate.,17.4 g carbohydrate
Sữa chua có đường Ba Vì chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua ( từ sữa bò) | Nhãn hệ thống: ['Dish']\n - Năng lượng: 61.0 kcal | Carbohydrate (Carb): 3.6 g\n - Chất đạm (Protein): 3.3 g | Natri: 46.0 mg | Kali: 155.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa chua ( từ sữa bò) chứa 3.6 g carbohydrate.,16.2 g carbohydrate
Sữa chua không đường TH True Yogurt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua không đường TH True Yogurt | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 3.6 g\n - Chất đạm (Protein): 3.3 g | Natri: 46.0 mg | Kali: 155.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa chua không đường TH True Yogurt chứa 3.6 g carbohydrate.,3.6 g carbohydrate
Sữa chua uống Yakult chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua uống Yakult | Nhãn hệ thống: ['Dish']\n - Năng lượng: 53.0 kcal | Carbohydrate (Carb): 12.4 g\n - Chất đạm (Protein): 0.8 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa chua uống Yakult chứa 12.4 g carbohydrate.,12.4 g carbohydrate
Sữa đặc có đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa đặc có đường Việt Nam | Nhãn hệ thống: ['Dish']\n - Năng lượng: 336.0 kcal | Carbohydrate (Carb): 56.0 g\n - Chất đạm (Protein): 8.1 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa đặc có đường Việt Nam chứa 56 g carbohydrate.,22.4 g carbohydrate
Sữa đậu nành chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa đậu nành | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): None g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa đậu nành chứa Carbohydrate: Chưa cập nhật.,18.4 g carbohydrate
Sữa dê thanh trùng không đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa dê thanh trùng không đường | Nhãn hệ thống: ['Dish']\n - Năng lượng: 138.0 kcal | Carbohydrate (Carb): 4.5 g\n - Chất đạm (Protein): None g | Natri: 100.0 mg | Kali: 408.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa dê thanh trùng không đường chứa 4.5 g carbohydrate.,4.5 g carbohydrate
Sữa Milo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa Milo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 110.0 kcal | Carbohydrate (Carb): 17.0 g\n - Chất đạm (Protein): 2.8 g | Natri: 31.0 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sữa Milo chứa 17 g carbohydrate.,17.0 g carbohydrate
